question,document
"I added money to my OpenAI account, but I still get insufficient_quota — do I need to make a new API key?",152af39a53
Which model should I use in `responses.create(...)` if the one in the tutorial is not available on my account?,152af39a53
What does the 429 error message about current quota actually mean in OpenAI API usage?,152af39a53
How much money do I need to start using the OpenAI API for this course?,554d0eb78b
"Will I have to spend a lot on OpenAI API calls in the course, or is it pretty cheap?",554d0eb78b
"What’s the minimum top-up amount for the OpenAI API, and is it enough for class work?",554d0eb78b
About how much does it cost to use the OpenAI API while doing the course exercises?,554d0eb78b
"Do I need a big budget for OpenAI API usage, or are the costs only a few cents at most?",554d0eb78b
"Do I need to pay for the OpenAI API to finish the LLM Zoomcamp homework, or are there free options I can use instead?",85384a18e5
"Is an OpenAI subscription required for this course, especially for the assignments in Module 1 RAG?",85384a18e5
Can I complete the course without buying access to the OpenAI API?,85384a18e5
What should I use if I don’t want to spend money on OpenAI API for the homework?,85384a18e5
Where can I find cheaper or free alternatives to OpenAI API for this course?,85384a18e5
Why does the course use uv instead of pip and virtualenv for Python setup?,f81dea8f7e
What’s the main reason uv is preferred over the usual Python tools in the lessons?,f81dea8f7e
"Do I have to use uv, or can I still stick with pip and virtualenv?",f81dea8f7e
"What does uv replace in the Python workflow, and why is it considered easier?",f81dea8f7e
Is uv just a faster way to handle environments and dependencies for the course?,f81dea8f7e
Why does my notebook not see OPENAI_API_KEY even though I put it in .env?,86d99bbf21
Do I need python-dotenv for the OpenAI key to work in Jupyter?,86d99bbf21
How do I load the .env file before creating the OpenAI client in a notebook?,86d99bbf21
What should I check if the API key variable is still missing after loading env vars?,86d99bbf21
"Is the env var name supposed to be OPENAI_API_KEY exactly, or can it be something else?",86d99bbf21
How do I keep my API keys in a .env file without pushing them to GitHub?,233dabe430
What’s the easiest way to load OPENAI_API_KEY or GROQ_API_KEY from a .env file in Python?,233dabe430
Do I need any extra package to read environment variables from a .env file in this course?,233dabe430
Where should I put my secret keys so they stay local and aren’t committed by accident?,233dabe430
Can someone show a simple example of using python-dotenv to read keys like GEMINI_API_KEY in code?,233dabe430
"Can I do the homework with a different LLM provider than the one in the instructions, or do I have to use the suggested model?",ee43413718
"Is it okay to use OpenAI alternatives like Gemini, Groq, OpenRouter, Azure OpenAI, or even a local model for this assignment?",ee43413718
"Do I need to pay for a model to complete the homework, or is there a free option that works too?",ee43413718
"If I switch to another provider, what parts of the code usually need changes, like response format, tool schema, or tokenizer stuff?",ee43413718
Where can I find a list of supported OpenAI API alternatives or other model/provider ideas for the course?,ee43413718
How can I set up Gemini in the Module 1 RAG notebook using the OpenAI-style endpoint?,0ae5c221b9
What do I need in my .env file and client config to call Google Gemini from the course notebook?,0ae5c221b9
"Can I use chat.completions with Gemini through Google’s OpenAI-compatible URL, and what does the helper function look like?",0ae5c221b9
Which Gemini model name should I pass when using the OpenAI-compatible API in the notebook?,0ae5c221b9
"If the notebook uses Responses examples, what parts do I need to change when switching to the older chat completions flow with Gemini?",0ae5c221b9
How do I get a Pydantic object back from Gemini if `responses.parse` is not supported on the OpenAI-compatible endpoint?,341f71f28c
Can I still use the OpenAI SDK with Gemini and have it return structured output without manually parsing JSON?,341f71f28c
What’s the right way to call Gemini through the OpenAI-compatible chat completions API and get a parsed `Questions` model?,341f71f28c
How should I define the Pydantic schema if I want Gemini to output a list of FAQ items as structured data?,341f71f28c
Is there a way to use `chat.completions.parse` with Gemini on the Google endpoint instead of the newer Responses API?,341f71f28c
"How do I install Ollama on macOS, Windows, or Linux?",1d0b969028
What’s the easiest way to get Ollama set up and running locally?,1d0b969028
"After installing Ollama, what command should I run to try it out with Llama 3?",1d0b969028
How can I check if the Ollama server is actually working on my machine?,1d0b969028
What do I need to install in Python before I can call Ollama from a script?,1d0b969028
How do I fix a connection refused error when I try prompting my Ollama RAG notebook?,c6fc2d4d11
My Ollama server seems down in the homework — what command should I run to get it working again?,c6fc2d4d11
"If I stop the notebook and the Ollama cell, do I need to start the serve command again before rerunning the RAG code?",c6fc2d4d11
What’s the quickest way to restart Ollama when I get a refused connection during the assignment?,c6fc2d4d11
"Why am I getting a connection refused error with Ollama, and how should I relaunch the server?",c6fc2d4d11
Why does my token count from tiktoken not match the number OpenAI shows for the same prompt?,bf0403d21b
"In a chat.completions.create request, what extra tokens does OpenAI add behind the scenes?",bf0403d21b
"If I count 320 tokens locally, why might the API say 327 tokens instead?",bf0403d21b
"Do message formatting, separators, or role fields change the final token usage in OpenAI chat calls?",bf0403d21b
"Can newlines, extra spaces, or weird Unicode characters make OpenAI report more tokens than my own count?",bf0403d21b
How can I set my API key once so I don’t have to export it in every new terminal?,8b2f5e9d04
"Is there a tool that loads `.env` automatically when I `cd` into a project, and works on different shells?",8b2f5e9d04
What’s the easiest way to keep my OpenAI key in a project without committing it to GitHub?,8b2f5e9d04
"If I already use `direnv`, can I use that instead of another dotenv tool for this course setup?",8b2f5e9d04
"For Python scripts, what should I use to load the `.env` file from the project root?",8b2f5e9d04
How do I decide what weights to use for different fields in minsearch or a similar search engine?,87d4ea4e08
Is there a good way to tune search field weights instead of just guessing and checking?,87d4ea4e08
What’s the best method to compare different field weight settings for retrieval?,87d4ea4e08
How can I test whether one set of search weights is better than another?,87d4ea4e08
"Should I rely on trial and error for weighting fields, or use evaluation with a labeled dataset?",87d4ea4e08
"What’s the best way to clean up documents before using them in a RAG pipeline, and what kind of junk should I remove?",649c280e6d
"When I preprocess source docs for retrieval, what context should I keep so chunks still make sense later?",649c280e6d
"Do I need to convert my data into JSON for RAG, or are there other formats that work just as well?",649c280e6d
How should I split documents into chunks without losing the meaning of the original text?,649c280e6d
What metadata is worth saving for RAG so I can filter or rank results better later?,649c280e6d
"In GitHub Codespaces, when uv prints ""Failed to hardlink files"", is that actually a problem or can I ignore it?",acf8fa5356
Why does uv complain about hardlinking in Codespaces even though the install seems to finish fine?,acf8fa5356
How can I stop uv from showing the hardlink warning in my current shell session?,acf8fa5356
What should I add to my shell config if I want uv to always use copying instead of hardlinking?,acf8fa5356
"If uv can't hardlink from its cache to the environment, does it still install the packages correctly?",acf8fa5356
My Python script says dotenv is not recognized — what package do I need to install?,0bed1f48da
"How do I fix the ""dotenv"" import error in the RAG module?",0bed1f48da
Is there a library I should add if load_dotenv isn't working in my setup?,0bed1f48da
What do I install with uv so I can use dotenv in Python?,0bed1f48da
"After installing the dotenv package, how do I load my .env file in code?",0bed1f48da
Is it okay to do the course on my own machine instead of using Codespaces?,aa310de435
"If I skip Codespaces, what software do I need to install to follow the module locally?",aa310de435
"Do I have to use the hosted environment, or can I set everything up on my laptop?",aa310de435
What should I be careful about if I choose to work through the course on my local setup?,aa310de435
"Is a local install supported for the RAG module, or is Codespaces required?",aa310de435
"If I keep coding in GitHub Codespaces but never commit, where does my code actually stay?",610ccb23c0
Will my changes in Codespaces be safe if the workspace gets stopped or deleted and I haven't committed them yet?,610ccb23c0
"Do I need to commit my work regularly in Codespaces, or is it enough that the code is already saved in the VM?",610ccb23c0
What happens to files I edited in Codespaces if the Linux VM disconnects before I push or commit anything?,610ccb23c0
"Is uncommitted work in Codespaces permanently stored somewhere, or can it disappear later?",610ccb23c0
Why does WSL2 say the model needs more memory than is available even though my PC has enough RAM?,f3dd94f323
How do I make WSL2 use more RAM on Windows so this model can run?,f3dd94f323
Where should I put the .wslconfig file to change WSL2 memory settings?,f3dd94f323
What’s the exact setting I need in .wslconfig to give WSL2 8GB of RAM?,f3dd94f323
"After changing WSL2 memory, how can I restart it and check that the new RAM limit worked?",f3dd94f323
My GitHub Codespace gets stuck on “Finishing up” and won’t reconnect — what should I try first?,830f3d2018
"If a Codespace refuses to open, is there a better way to launch it than desktop VS Code?",830f3d2018
What does it mean when my Codespace setup seems to disappear after a rebuild or restart?,830f3d2018
"Do my files in /workspaces stay safe if I stop a Codespace, or can they vanish?",830f3d2018
What’s the fastest way to recover if Codespaces keeps acting flaky and my environment breaks again?,830f3d2018
"Is OpenAI the only option for this RAG course, or can I plug in another LLM provider instead?",c6ff9083c0
"If the model provider used in the lessons is blocked where I live, what are my alternatives?",c6ff9083c0
"Can I keep using the course code if I switch from OpenAI to a provider like Groq, OpenRouter, DeepSeek, or Mistral?",c6ff9083c0
What changes do I need to make in the code to use a different model endpoint or API?,c6ff9083c0
"Are local setups like Ollama, vLLM, or LM Studio okay for the assignments, or do I need an external API?",c6ff9083c0
What should I do in the notebook so I don’t keep getting 429s from OpenAI when it loops over lots of docs?,8e21752415
Is there a good way to set up retries or backoff in the OpenAI client for these rate limit errors?,8e21752415
How many workers should I use in a thread or process pool before I hit the per-minute cap?,8e21752415
Can I save embeddings or model outputs and reuse them later so rerunning the notebook doesn’t call the API again?,8e21752415
Would using a cheaper model or another provider help me avoid rate limit problems during the course?,8e21752415
"What exactly do tools or functions mean in agentic RAG, and are they basically the same thing?",c296ea5a21
When should an LLM call a tool instead of just answering from what it already knows?,c296ea5a21
Can you give a few examples of tools a model might use in an agentic RAG setup?,c296ea5a21
How is tool use in agentic RAG different from the usual fixed retrieval step in basic RAG?,c296ea5a21
Do I need to worry about the difference between calling something a tool versus a function in this course?,c296ea5a21
Which free models can I use if I want tool calling support for development?,0d74a3616f
"Does Groq have any models with tool use enabled for free, and which ones are they?",0d74a3616f
"Besides OpenAI, what other model providers support tool or function calling for agentic RAG?",0d74a3616f
"If I switch from OpenAI to Groq, Mistral, Gemini, or Ollama, do I need to change my code?",0d74a3616f
Where can I find the docs for Groq tool use and what models does it cover?,0d74a3616f
Why do I get `AttributeError: 'str' object has no attribute 'output'` when I try `client.responses.create(...)` with Mistral or Groq?,9e7b3f0c25
"Is `response.output` only for OpenAI models, or should it work with other LLM providers too?",9e7b3f0c25
How should I read the assistant reply if I’m using a non-OpenAI model instead of the Responses API?,9e7b3f0c25
Can I still use `chat.completions.create(...)` for the homework if my provider doesn’t support the newer API?,9e7b3f0c25
Do I need to change the tools format when switching from OpenAI Responses API to another provider?,9e7b3f0c25
"Why am I getting the Azure OpenAI 400 error about missing `tools[0].function`, and what should I change in my tool definition?",b9c7c6bb34
How do I format `get_weather_tool` so Azure OpenAI accepts it without the missing parameter error?,b9c7c6bb34
What is the correct JSON structure for a function tool like `get_weather` in this setup?,b9c7c6bb34
My tool call keeps failing with `tools[0].function` missing — can you show the fixed `get_weather_tool` object?,b9c7c6bb34
"For Azure OpenAI, what should the `get_weather_tool` JSON look like to avoid the invalid request error?",b9c7c6bb34
"Why does toyaikit give a 404 with Groq or another provider that's not OpenAI, and what should I change to make it work?",0224d980b3
How can I run toyaikit with Groq using the chat completions API instead of the Responses endpoint?,0224d980b3
"Can I use Anthropic models with toyaikit, and which runner/client setup should I use?",0224d980b3
"What does `runner.loop(prompt=...)` do in toyaikit, and when should I use it instead of `runner.run()`?",0224d980b3
"If Anthropic or Groq is failing in toyaikit, could an old model name or pricing warning be the reason?",0224d980b3
Where do I actually find the Module 1 homework questions for 2026?,53f15299b6
Is there a GitHub page with the homework instructions and materials for Module 1?,53f15299b6
"Do I need to check the course platform, or is the homework info all in GitHub?",53f15299b6
What’s the link to the 2026 cohort materials for Module 1 homework?,53f15299b6
Where should I look for the homework details and extra context before submitting?,53f15299b6
Why am I getting an empty list back after filtering my query in HW Q3?,83da208a64
Could this be because I indexed the data wrong before running the filters?,83da208a64
Do I need to set up the index settings before I load the documents?,83da208a64
My homework query returns nothing after filtering — what should I check first?,83da208a64
Is the empty result caused by adding data to the index before the settings were in place?,83da208a64
"Why do I get a 402 error from OpenRouter when I call responses.create(), and how can I fix it with max_output_tokens?",cfb07a27d5
"In the Module 1 homework, where should I add max_output_tokens so rag_helper.py stops failing on OpenRouter?",cfb07a27d5
What’s the right way to set max_output_tokens in ToyAIKit for homework Q6 with OpenRouter?,cfb07a27d5
My OpenRouter key works on some requests but responses.create() still gets rejected before the model runs — is this related to token limits?,cfb07a27d5
"How can I tell if the problem is my OpenRouter .env setup, the model choice, or just not setting a reasonable output token limit?",cfb07a27d5
"In the Module 1 homework, what does it mean to point RAG at the chunk index instead of the full document index?",b4300adeb1
Should I build the search index from the original documents or from the split chunks?,b4300adeb1
"If I have both `documents` and `chunks`, which one should I pass to `index.fit(...)` for the homework?",b4300adeb1
Why does the RAG pipeline use chunks in the prompt instead of the whole documents?,b4300adeb1
What’s the difference between searching over full records and searching over chunked records in this assignment?,b4300adeb1
"If my homework number is a bit off, should I still pick the nearest multiple-choice option?",5e4ca64cb5
Why do my homework results not match the provided answers exactly sometimes?,5e4ca64cb5
What can cause small differences between my output and the expected homework option?,5e4ca64cb5
How do I know if my answer is close enough to choose one of the listed options?,5e4ca64cb5
"If my result is way different from all choices, what should I check first in the homework?",5e4ca64cb5
"Where should I look first when a homework question doesn't make sense, the course page or the GitHub instructions?",7d3a2e3505
"For Module 1 in the 2026 cohort, which GitHub links do I need to check before starting the homework?",7d3a2e3505
Why does the homework sometimes feel different from the lesson if it's based on the same topic?,7d3a2e3505
"If I’m still confused after reading the homework instructions, how should I ask for help in Slack?",7d3a2e3505
"Should I paste screenshots when I ask about homework issues, or is it better to share the code/output as text?",7d3a2e3505
How do I count tokens for the Module 1 homework if I'm using a provider other than OpenAI?,fe8fed31e6
Where should I look in the API response to find the token usage for my model output?,fe8fed31e6
"Can I just use tiktoken or cl100k_base for Gemini, Mistral, Groq, or Hugging Face in this homework?",fe8fed31e6
What should I do if my model provider doesn't give me any token usage info at all?,fe8fed31e6
"For the multiple-choice questions in Module 1, what should I pick if my token count is not exact?",fe8fed31e6
"Why does my homework repo link get rejected with a 500 or other non-200 error, and what should I check first?",bcdb8740ce
Do I need to make my GitHub repository public for the submission checker to access it?,bcdb8740ce
"Should I submit the GitHub URL with .git at the end, or just the normal repo link?",bcdb8740ce
How can I quickly test whether the homework URL is reachable by the checker?,bcdb8740ce
Could a small typo in the repo URL be the reason the homework submission fails?,bcdb8740ce
"What exactly are embeddings in vector search, and why do we need them?",69430a79a8
How do embeddings turn text or other non-numerical data into numbers without losing meaning?,69430a79a8
Why should similar inputs produce similar vectors when using an embedding model?,69430a79a8
How does the closeness of embedding values help with semantic similarity search?,69430a79a8
"What’s the connection between embeddings, vector space models, and dimensionality reduction?",69430a79a8
How can I get rid of the warning about `multi-qa-mpnet-base-dot-v1` being made on sentence-transformers v3.0.0 beta?,aa3f597424
Is there a way to suppress the `model was made on sentence transformers v3.0.0 bet` message when using this embedding model?,aa3f597424
What should I update if I keep seeing the warning for `multi-qa-mpnet-base-dot-v1` during vector search?,aa3f597424
"Do I need a newer `sentence-transformers` version to avoid the model compatibility warning, and if so which one?",aa3f597424
What command do I run to stop the `multi-qa-mpnet-base-dot-v1` warning from showing up?,aa3f597424
Why did the lesson use dot product straight away for cosine similarity instead of normalizing first?,92cd22cada
"Are OpenAI embeddings already unit length, so dot product and cosine similarity end up the same?",92cd22cada
"In the homework, why doesn’t dot product give cosine similarity with TF-IDF plus SVD vectors?",92cd22cada
Do I need to normalize classic embeddings manually before using similarity search?,92cd22cada
What’s the actual difference between the lesson setup and the homework setup when computing similarity?,92cd22cada
"In vector search, do I need to embed just the answer, just the question, or both together?",5c4a8d2e60
What is the difference between indexing only the text field and indexing only the question field for semantic search?,5c4a8d2e60
Why would combining the question and answer into one embedding sometimes work better than using either one alone?,5c4a8d2e60
"Is there a general best practice for what text to embed in a vector search dataset, or does it depend on the data?",5c4a8d2e60
"How should I decide which embedding setup is better: question only, answer only, or question plus answer?",5c4a8d2e60
How does cosine similarity measure how close two vectors are in text search?,db78580409
Why do people use cosine similarity for comparing documents or embeddings?,db78580409
"What does a cosine similarity score of 1, 0, or -1 actually mean?",db78580409
"Is cosine similarity based on the angle between vectors, and why does that matter?",db78580409
"When comparing word counts or TF-IDF vectors, how is cosine similarity calculated?",db78580409
Why can cosine similarity be computed with just a dot product once the embeddings are normalized?,95feb4e75b
"In vector search, why do we normalize both the documents and the query before comparing them?",95feb4e75b
How does cosine similarity end up as a matrix multiplication over all document embeddings?,95feb4e75b
What changes when vector magnitudes are removed and only direction matters in similarity search?,95feb4e75b
Why is matrix multiplication the efficient way to get cosine scores for every embedding at once?,95feb4e75b
"For Module 2 vector search, do I have to create a whole new GitHub repo, or can I reuse the same repo and just open a fresh codespace?",1e829a8c6f
Why does the course recommend using a separate codespace for the vector search module instead of keeping everything in the Module 1 environment?,1e829a8c6f
"If I’m done with Module 2 and want to delete that codespace, will my work be safe if I already committed the changes to GitHub?",1e829a8c6f
"When setting up Module 2, is the main reason for a new codespace just to avoid the heavier dependencies from affecting my earlier setup?",1e829a8c6f
"Is a codespace basically just an environment tied to my existing repository, so I don’t need to start a new repo for each module?",1e829a8c6f
Why does download.py just stay at 0% when trying to get model.onnx from HuggingFace?,29b69fbe0b
My model.onnx download in download.py never moves past 0% — is HuggingFace blocking it or something?,29b69fbe0b
How can I fix download.py hanging forever while downloading model.onnx from the Xenova MiniLM repo?,29b69fbe0b
Is there a way to avoid the stuck download in download.py and just place model.onnx manually?,29b69fbe0b
What should I do if download.py can’t fetch model.onnx from HuggingFace and keeps waiting at 0%?,29b69fbe0b
"Why do my vector search scores from the matrix multiply and the Python loop not match exactly, even though the code is doing the same dot product?",e889793af9
Is it normal for `X.dot(v_query)` and a for-loop version of vector search to differ a tiny bit in the output?,e889793af9
I compared the two vector search implementations with `np.allclose` and got `False` — does that mean one of them is wrong?,e889793af9
Why does the optimized `dot` version give slightly different last digits than the loop version in vector search?,e889793af9
How should I compare the scores from the matrix version and the loop version of vector search without expecting exact equality?,e889793af9
Why am I getting `IndexError: list index out of range` when I try to access the best chunk in my vector search code?,1a7b27c4df
What usually causes the best-chunk lookup to fail with an out-of-range error after embedding my document chunks?,1a7b27c4df
How do I make sure the embeddings and the chunk list line up so I don’t hit an index error?,1a7b27c4df
Should I create embeddings from the full chunk objects or just from the chunk contents to avoid this mismatch?,1a7b27c4df
What’s the correct way to build `X` so its number of rows matches the number of chunks?,1a7b27c4df
Why does my Q2 cosine similarity not match any multiple-choice answer in Module 2 homework?,eaa17a9dc6
"Am I supposed to use the lesson embedding model for the homework, or something else?",eaa17a9dc6
Could I be getting the wrong cosine score because I embedded the wrong field from the data?,eaa17a9dc6
Do I need to normalize the vectors myself before comparing the query and the document?,eaa17a9dc6
"If my cosine value is a little different from the options, should I just choose the nearest one?",eaa17a9dc6
"How do I set up Gemini, OpenAI, and Tavily API keys for the Kestra exercises?",3860e5fe8b
Why does Kestra need both a normal Gemini key and a SECRET_GEMINI_API_KEY?,3860e5fe8b
What’s the right way to export API keys before starting Kestra so the flows can read them?,3860e5fe8b
How do I use a secret inside a Kestra flow without writing the SECRET_ prefix?,3860e5fe8b
"Do I need to restart Kestra after adding API keys, and what’s the command to do that?",3860e5fe8b
"Why does Kestra AI Copilot keep saying it can only help with creating Kestra flows, and what should I check first?",04440cab11
Do I need to set a different environment variable for the Copilot than the one used by the flows in Kestra?,04440cab11
What’s the right way to export the Gemini key and restart Kestra so the AI Copilot works?,04440cab11
"If the Copilot still refuses after I set the key, what are the usual reasons it fails?",04440cab11
"Can a quota or rate-limit issue cause this Kestra AI Copilot error, and how do I tell if that’s the problem?",04440cab11
Why does my Kestra flow say the Gemini key is missing even though I set SECRET_GEMINI_API_KEY?,c8ca21af33
Could base64 encoding be breaking my secret in Kestra? I used echo and now auth fails.,c8ca21af33
"Do I need to restart Kestra after exporting new env vars, or should it pick them up automatically?",c8ca21af33
"When I use a secret in a flow, should I write SECRET_GEMINI_API_KEY or just GEMINI_API_KEY?",c8ca21af33
What's the safest way to pass my API keys to Kestra — env vars or a .env file?,c8ca21af33
Why do we need an orchestrator like Kestra if I can already run everything in a notebook?,193612db63
What problems in a real AI workflow does Kestra solve besides just executing code?,193612db63
"Is Kestra mainly used here for automation features like retries, scheduling, and monitoring?",193612db63
"How does this module use Kestra to teach AI stuff like Copilot, RAG, and agents?",193612db63
"Can I switch between OpenAI, Gemini, Anthropic, and other providers in a Kestra flow without rewriting the whole thing?",193612db63
"Do I actually have to use Kestra in LLM Zoomcamp, or is it okay to stick with Airflow/Prefect or even just Python for the project?",cce328db64
"For the capstone, can I choose a different orchestrator than Kestra, and will a simple script still count for the ingestion pipeline part?",cce328db64
"Is Kestra only needed for Module 3 homework, or do I need to keep using it after that for the rest of the course?",cce328db64
"If I already know Airflow, should I still try Kestra in Module 3, or can I skip it and use my own tool?",cce328db64
"Can Kestra flows work with OpenAI, Gemini, or Anthropic, or is it tied to one model provider?",cce328db64
"Does Kestra work only with Gemini, or can I switch to OpenAI, Anthropic, Groq, or even a local model without rewriting my flow?",f442efe5b4
"If I want to run an LLM locally in Kestra, can I use something like Ollama or LM Studio as the backend?",f442efe5b4
What’s the difference between Kestra’s generic AI plugin and the vendor-specific plugins like the Gemini or OpenAI ones?,f442efe5b4
"For providers that are OpenAI-compatible but don’t have their own Kestra plugin, how do I point the OpenAI plugin to the right API endpoint?",f442efe5b4
